id,course,chapter,question,exam_years,star_rating,matched_terms_기출1,matched_terms_기출2
14523030-ff17-4627-84ce-d2745b36a4c6,골격계,상지골,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
1964a593-da33-4b53-b189-40e8389137cb,골격계,상지골,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
738e570e-0ce5-4e68-8299-9d9bd05378c4,골격계,상지골,견갑골의 관절와(Glenoid fossa)와 관절을 이루는 뼈는?,null,1,,
ca6a66ec-d1a3-491b-831a-35440ebd7c7b,골격계,하지골과 골반,골반뼈 (Pelvic bone/Hip bone),null,1,,
eac8c143-05f9-48c9-b94f-8d6f4511ec41,골격계,하지골과 골반,"자유하지골: 대퇴골, 슬개골, 경골, 비골","[""기출1"",""기출2""]",5,"대퇴골,슬개골","대퇴골,슬개골"
38a92b5e-befd-4bf1-a1df-22e749b6e027,골격계,하지골과 골반,"발의 뼈: 족근골, 중족골, 족지골","[""기출1"",""기출2""]",5,족근골,족근골
6a8b48b6-5f9f-4cc4-a741-69029d8be4f8,골격계,하지골과 골반,대퇴골(Femur)은 인체에서 가장 긴 뼈이다.,"[""기출1"",""기출2""]",5,"Femur,대퇴골","Femur,대퇴골"
bf113175-9596-4a72-95fa-5e18d12eb4ae,골격계,하지골과 골반,좌골결절(Ischial tuberosity)은 어떤 동작에서 체중을 받는 부분인가?,"[""기출1"",""기출2""]",5,동작에서,동작에서
f1bdc14e-a898-4de8-b098-c75bb4a415e1,골격계,하지골과 골반,종골(Calcaneus)에 부착하는 건(tendon)은?,"[""기출1"",""기출2""]",5,Calcaneus,Calcaneus
0e79cdbf-de71-4a03-b661-4d78147e50f2,골격계,하지골과 골반,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
3404ef46-dd76-42af-b64b-9fef30d9356e,골격계,하지골과 골반,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
fd975449-0109-4fd2-b80f-fa5e167b737b,골격계,하지골과 골반,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
4b3973d6-7bce-454e-a3d2-ae4cef242ac9,골격계,하지골과 골반,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
582e867c-4614-4d76-8512-b701b5c67cb7,골격계,하지골과 골반,다음 중 경골(Tibia)과 비골(Fibula)의 설명으로 올바른 것은?,"[""기출1"",""기출2""]",5,"Fibula,Tibia","Fibula,Tibia"
0c4bc30b-f35f-4fee-8761-c7f08da0706f,관절,관절의 기초,관절(Joint)이란?,null,1,,
152b0d62-0631-4fbe-b1d0-67543967c5cc,관절,관절의 기초,관절의 기본 구조 (주변 구조물),null,1,,
920268c1-ff18-4cfb-8f93-c80fee7ba227,관절,관절의 기초,관절 운동 형상학 (Arthrokinematics),null,1,,
ebc8a69f-ca98-40e9-9366-ef22ab34228a,관절,관절의 기초,인대(Ligament)는 근육과 뼈를 연결하는 구조물이다.,null,1,,
6111f07f-3516-40e0-a3e1-9d883cf11e6e,관절,관절의 기초,다음 중 관절 주변 구조물의 역할이 아닌 것은?,null,1,,
79ae07dd-19f8-4b38-8fc1-e35ba633b9a3,관절,관절의 기초,관절가동범위(ROM)를 결정하는 주요 요인은?,null,1,,
1d0f5532-577e-4ecb-bcbe-e06d11de632b,관절,관절의 종류,관절의 6가지 종류 (교재 분류),null,1,,
b70ca745-e282-4cf8-8314-055b079470d8,관절,관절의 종류,경첩 관절 (Hinge Joint) 상세,"[""기출2""]",3,,Hinge
14b777c7-5dd5-4f09-b69e-4bc3db48cc95,관절,관절의 종류,구상 관절 (Ball & Socket Joint) 상세,"[""기출2""]",3,,"Ball,Socket"
525b66f4-a11e-407a-88f8-def6ff427faa,관절,관절의 종류,"경첩 관절(Hinge joint)에서는 굴곡, 신전, 회전이 모두 일어난다.","[""기출2""]",3,,Hinge
1188142e-2d19-46bb-b3b7-7aa9ee5e4d0a,관절,관절의 종류,자축 관절(Pivot joint)의 예시로 올바른 것은?,"[""기출2""]",3,,Pivot
13525131-923b-4bff-953e-86174b3e0d7a,관절,관절의 종류,"삼평면 운동(굴곡-신전, 외전-내전, 내-외회전)이 가능한 관절 종류는?","[""기출1"",""기출2""]",5,외회전,외회전
d2b93980-2ba3-4e75-a4c5-65192884526f,관절,관절의 종류,구상 관절(Ball & Socket joint)은 삼평면 운동이 가능하다.,"[""기출2""]",3,,"Ball,Socket"
80fb67f0-9ed5-4681-bda5-2cd2ece53d14,관절,관절의 종류,다음 중 관절의 종류(Type)를 모두 고르시오.,null,1,,
ede91702-3dd3-48c2-bd06-f6deed222d53,관절,관절의 종류,Hinge joint (경첩관절)를 모두 고르시오.,"[""기출2""]",3,,"Hinge,경첩관절"
ce824995-b437-4c3f-8941-f93595fc0a02,관절,관절의 종류,다음 중 관절과 그 종류(Type)의 연결이 올바른 것은?,null,1,,
ec2bef0b-08f6-4760-8667-fae3ce05890d,관절,관절의 종류,안장 관절(Saddle joint)에 대한 설명으로 올바른 것은?,null,1,,
5d248f55-7ba9-4a85-a6ec-06606ab1661c,관절,상지 관절,어깨 관절의 5가지 구성 (교재 p.57),null,1,,
cdfa6ca5-4703-4b92-82b5-054c0bd8a24b,관절,상지 관절,팔꿈치 관절과 인대 (교재 p.60-61),"[""기출2""]",3,,팔꿈치
8a3b2d65-6995-4a04-ba2c-fa755b897286,관절,상지 관절,견흉관절(Scapulothoracic joint)은 해부학적 관절(True joint)이다.,"[""기출1"",""기출2""]",5,"Scapulothoracic,견흉관절","Scapulothoracic,견흉관절"
56bb832f-9313-4573-9a10-7ecc8b1e1794,관절,상지 관절,어깨 GH관절(Glenohumeral joint)은 어떤 종류의 관절인가?,"[""기출1"",""기출2""]",5,Glenohumeral,Glenohumeral
4437ce63-d9cb-4e84-8ebd-26bd3eef9b62,관절,상지 관절,다음 중 기능적 관절(가짜 관절)은?,"[""기출1"",""기출2""]",5,기능적,기능적
8153f6c7-4f24-4c18-be1c-afe9d8a489d7,관절,상지 관절,다음 중 견쇄관절(AC joint)의 관절 종류는?,"[""기출1"",""기출2""]",5,견쇄관절,견쇄관절
e0e531f8-98a2-4f71-8304-570c4954402b,관절,하지 관절,"고관절 (Hip Joint) (교재 p.66, 70)",null,1,,
ee3b5b18-d720-4bf7-952c-2909f17fb740,관절,하지 관절,슬관절과 인대 (교재 p.71),null,1,,
82208f05-296a-438e-88dc-cdb30c2ceb13,관절,하지 관절,발목 관절 (교재 p.72),null,1,,
e75f6fae-f9ac-41ff-87e9-f6f43adf3994,관절,하지 관절,발목의 내번(Inversion)과 외번(Eversion)은 거퇴관절(Talocrural joint)에서 일어난다.,"[""기출1""]",3,Eversion,
b939b603-5296-4734-b96a-25a518261fa5,관절,하지 관절,슬관절에서 경골의 전방 이동을 방지하는 인대는?,null,1,,
667ce89e-a4b1-4eff-bea7-2a8d2be3f29a,관절,하지 관절,ACL(전방십자인대)은 경골의 전방 이동을 방지한다.,null,1,,
57918292-123b-4040-9cfd-76e0b23c10ec,관절,하지 관절,교재에서 발목 관절(Talocrural joint)은 어떤 관절 종류로 분류되는가?,null,1,,
16b3cfff-beb5-4fb5-87c7-f11cece38b5f,관절,하지 관절,다음 중 고관절(Hip joint)의 안정성을 높이는 구조물이 아닌 것은?,null,1,,
6a2a50dd-c73e-4f3b-8054-123487ec695f,관절,하지 관절,다음 관절과 그 종류(Type)의 연결이 모두 올바른 것은?,null,1,,
115024e6-a117-4bf0-91ec-53344692a8d2,목/체간 근육,근육의 기초,근육 수축의 종류 (교재 p.96-97),null,1,,
b44529b5-34e5-427a-9ae5-8e9b8d1ccc9f,목/체간 근육,근육의 기초,작용에 따른 근육 분류 (교재 p.95),null,1,,
4713d50b-2d18-4fdf-b0e1-9a29f1e0baee,목/체간 근육,근육의 기초,고유수용성 감각기: 근방추와 GTO (교재 p.92-94),"[""기출1"",""기출2""]",5,GTO,GTO
4a94a901-1137-452a-91aa-a7026cc9133b,목/체간 근육,근육의 기초,신장성 수축(Eccentric contraction)은 근육이 길어지면서 힘을 생산하는 수축이다.,null,1,,
fc2649a4-8f3c-43b1-af4a-db33a72ac49a,목/체간 근육,근육의 기초,근방추(Muscle spindle)는 근육의 과한 수축에 반응하여 해당 근육을 이완시킨다.,"[""기출1"",""기출2""]",5,"spindle,근방추,근육을,수축에","spindle,근방추,근육을,수축에"
d2eaf6e3-5b8a-466f-baed-29b6b1d99af8,목/체간 근육,근육의 기초,"근육의 길이 변화에 대한 반응을 하는 고유 수용성 감각기로서, 근육의 과한 수축에 반응하여 스트레스에 대한 방어적 역할을 하는 이 기관의 이름은?","[""기출1"",""기출2""]",5,"감각기로서,기관의,반응을,방어적,변화에,수용성,수축에,스트레스에,역할을","감각기로서,기관의,반응을,방어적,변화에,수용성,수축에,스트레스에,역할을"
11783fcc-755a-4301-881d-b658c295ff94,목/체간 근육,목 근육,흉쇄유돌근 SCM (교재 p.101),"[""기출1"",""기출2""]",5,"SCM,흉쇄유돌근","SCM,흉쇄유돌근"
0b5ef135-9f47-47d1-bb7c-4d14f3f55a6b,목/체간 근육,목 근육,사각근 Scalene (교재 p.102),"[""기출1"",""기출2""]",5,"Scalene,사각근",Scalene
1738f0a2-7fda-4dc6-99b5-43594269d4b9,목/체간 근육,목 근육,목 신전근과 후두하근 (교재 p.104-105),"[""기출1"",""기출2""]",5,후두하근,후두하근
7c5a6c9a-84d2-4a10-8898-a06025ac871a,목/체간 근육,목 근육,"사각근(Scalene)은 호흡 시 제1, 2 늑골을 들어올리는 호흡 보조근이다.","[""기출1"",""기출2""]",5,"Scalene,사각근",Scalene
817bdec4-9bc8-435a-b6c6-4b5ece9d61ab,목/체간 근육,목 근육,SCM(흉쇄유돌근)의 정지(Insertion)는?,"[""기출1"",""기출2""]",5,"SCM,흉쇄유돌근","SCM,흉쇄유돌근"
efaea271-feb4-4fff-9ab8-7d02cdc0d35a,목/체간 근육,목 근육,다음 근육의 이름과 움직임(Action)을 고르시오.,"[""기출1"",""기출2""]",5,이름과,이름과
e029290d-27cc-40a6-b6d7-667f6b51a476,목/체간 근육,목 근육,다음 근육들은 어떤 움직임을 만들어내는 그룹인가?,"[""기출2""]",3,,"근육들은,만들어내는"
449ad8b0-8207-4710-b34a-811358ba0969,목/체간 근육,척추 근육,척추기립근 Erector Spinae (교재 p.107-108),"[""기출2""]",3,,"Erector,척추기립근"
2e44e753-86a1-4dc4-9376-3d9114cec399,목/체간 근육,척추 근육,다열근과 요방형근 (교재 p.109-110),null,1,,
ed38b6c8-1934-49f5-a6ec-cd8a6d3da1c3,목/체간 근육,척추 근육,척추기립근(Erector spinae)을 구성하는 3개의 근육은?,"[""기출1"",""기출2""]",5,구성하는,"Erector,spinae,척추기립근"
ae0e9e15-fc14-48b0-b1ea-47ba7a978e9c,목/체간 근육,척추 근육,Erector spinae(척추기립근)의 구성 근육으로 올바른 것은?,"[""기출2""]",3,,"Erector,spinae,척추기립근"
b431351b-eb4c-4ad9-ac54-7ee007a58f6f,목/체간 근육,복근과 코어,복벽 근육 (교재 p.111-113),null,1,,
cf89358b-cdcd-4fa6-98fd-a16d6d1c3ae0,목/체간 근육,복근과 코어,Inner Core Muscles (교재 p.115-117),"[""기출1""]",3,"Inner,Muscles",
67189e6a-3210-4faa-b16c-6c254ade238e,목/체간 근육,복근과 코어,복직근(Rectus abdominis)은 Inner core muscle에 포함된다.,"[""기출1"",""기출2""]",5,"Inner,Rectus,abdominis,core,muscle,복직근","Rectus,abdominis"
eed8dd90-d4b8-4ffa-b512-063bac940bab,목/체간 근육,복근과 코어,복직근(Rectus abdominis)의 주된 작용(Action)은?,"[""기출1"",""기출2""]",5,"Rectus,abdominis,복직근","Rectus,abdominis"
122d2070-a74c-4063-b6e4-ce777a865ec9,목/체간 근육,복근과 코어,Inner core muscle (속 코어근육)을 구성하는 근육을 모두 고르시오.,"[""기출1"",""기출2""]",5,"Inner,core,muscle,구성하는,근육을,코어근육",근육을
f9ff847f-7130-4c02-8844-4a5c17b02e1f,목/체간 근육,복근과 코어,"다음 복벽 근육 중 가장 깊은 층에 위치하며, Inner core의 구성원인 근육은?","[""기출1""]",3,"Inner,core",
e1822de6-d79d-4fbd-ba27-b8fb91430f5d,상지 근육,견갑골 근육,승모근 Trapezius (교재 p.123),"[""기출1"",""기출2""]",5,"Trapezius,승모근",Trapezius
5b9b178e-fdb3-471b-a729-31a9bf49c7be,상지 근육,견갑골 근육,"능형근, 견갑거근, 전거근 (교재 p.121-122, 129)","[""기출1"",""기출2""]",5,"견갑거근,능형근,전거근","견갑거근,능형근,전거근"
6a1729d4-a9c4-40f1-8156-f4820e2424e6,상지 근육,견갑골 근육,전거근(Serratus anterior)의 작용은 견갑골 전인(Protraction)과 상방회전(Upward rotation)이다.,"[""기출1"",""기출2""]",5,"Protraction,Serratus,Upward,anterior,rotation,상방회전,전거근","Serratus,anterior,rotation,전거근"
a437cfaf-916e-4fff-8b76-2a6f447c9edf,상지 근육,견갑골 근육,견갑골 후인(Retraction)을 담당하는 근육으로 올바른 것은?,"[""기출1""]",3,Retraction,
d03c61b0-49d0-4847-9165-a7edebeeb6bb,상지 근육,견갑골 근육,소흉근(Pectoralis minor)의 작용(Action)으로 올바른 것은?,"[""기출1"",""기출2""]",5,"Pectoralis,minor,소흉근","Pectoralis,minor,소흉근"
621e62b2-6981-4b6e-b42b-86973fa22ccc,상지 근육,회전근개와 삼각근,회전근개 Rotator Cuff 4근 (교재 p.124),"[""기출1"",""기출2""]",5,"Rotator,회전근개","Rotator,회전근개"
60605c11-b36f-4145-870f-b6c5e1d42d75,상지 근육,회전근개와 삼각근,삼각근 Deltoid (교재 p.126-127),"[""기출1"",""기출2""]",5,"Deltoid,삼각근","Deltoid,삼각근"
56388e09-e4e8-4b50-933e-1b4791387263,상지 근육,회전근개와 삼각근,대원근(Teres major)은 회전근개(Rotator cuff)에 포함된다.,"[""기출1"",""기출2""]",5,"Rotator,Teres,cuff,major,대원근,회전근개","Rotator,Teres,cuff,major,대원근,회전근개"
8458aa5a-5445-444d-8d00-29ab56039928,상지 근육,회전근개와 삼각근,견갑하근(Subscapularis)의 정지(Insertion)는?,"[""기출1"",""기출2""]",5,"Subscapularis,견갑하근","Subscapularis,견갑하근"
afbbbd47-2ed9-4ea5-985e-18bae7f4a5f9,상지 근육,회전근개와 삼각근,다음 중 Rotator cuff (회전근개)를 모두 고르시오.,"[""기출1"",""기출2""]",5,"Rotator,cuff,회전근개","Rotator,cuff,회전근개"
23b178eb-b2f7-44e9-9be4-9abc26a13d9b,상지 근육,회전근개와 삼각근,다음 근육의 이름과 움직임은 무엇인가?,"[""기출1"",""기출2""]",5,이름과,이름과
6dcaa472-351a-4ab8-9bb9-7e9577118d71,상지 근육,"대흉근, 광배근, 대원근",광배근과 대원근 (교재 p.130-131),"[""기출1"",""기출2""]",5,대원근,대원근
19e70b5b-b480-430f-9ff6-47da4663e0f9,상지 근육,"대흉근, 광배근, 대원근",대흉근 Pectoralis Major (교재 p.132),"[""기출1"",""기출2""]",5,"Pectoralis,대흉근","Pectoralis,대흉근"
50d74787-8e0f-4ebb-849d-05006bd901b2,상지 근육,"대흉근, 광배근, 대원근",광배근(Latissimus dorsi)의 Action에 포함되지 않는 것은?,"[""기출1"",""기출2""]",5,"Latissimus,dorsi,광배근","Latissimus,dorsi,광배근"
793be6d8-cc65-4c2d-811f-12ca616d763b,상지 근육,"대흉근, 광배근, 대원근","견관절 신전(Extension), 내전(Adduction), 내회전(Internal rotation)을 모두 수행하는 근육은?","[""기출1"",""기출2""]",5,"rotation,견관절,내회전","rotation,견관절,내회전"
cb10dd49-f987-4e54-bc29-c15b02e6325d,상지 근육,상완 근육,상완이두근과 상완삼두근 (교재 p.134-135),"[""기출1"",""기출2""]",5,상완삼두근,상완삼두근
da8c4fda-48ad-4dda-8df9-a2c75f15d417,상지 근육,상완 근육,상완삼두근(Triceps brachii)의 주된 작용은 주관절 신전(Elbow extension)이다.,"[""기출1"",""기출2""]",5,"Elbow,Triceps,brachii,extension,상완삼두근,주관절","Elbow,Triceps,brachii,extension,상완삼두근"
b6e46e58-b330-4e75-9fb8-b9c7cbf5696d,상지 근육,상완 근육,다음 근육의 이름과 움직임(Action)을 고르시오.,"[""기출1"",""기출2""]",5,이름과,이름과
1446ef07-5dbc-48de-9444-f610ccb6bcc0,하지 근육,고관절 근육 (굴곡/신전/외전/외회전),고관절 ROM과 장요근 Iliopsoas (교재 p.138-139),"[""기출1"",""기출2""]",5,"Iliopsoas,장요근","Iliopsoas,장요근"
5f1d201c-b516-4d24-a0af-0b5579e69c98,하지 근육,고관절 근육 (굴곡/신전/외전/외회전),"둔근 3형제: 대둔근, 중둔근, 소둔근 (교재 p.141-143)","[""기출1"",""기출2""]",5,중둔근,"대둔근,소둔근,중둔근"
